Dataset,Model,Accuracy,Precision,Recall,F1_Score,Time_sec
GunPoint,k-NN (Euc),0.9133333333333333,0.9140413923975568,0.9133333333333333,0.9133217772641747,0.008409976959228516
GunPoint,k-NN (DTW),0.9066666666666666,0.9078917378917378,0.9066666666666666,0.9066334755808441,0.28765392303466797
GunPoint,LSTM,0.5066666666666667,0.2567111111111111,0.5066666666666667,0.34076696165191744,3.7497241497039795
GunPoint,Transformer,0.5066666666666667,0.2567111111111111,0.5066666666666667,0.34076696165191744,8.482282161712646
ArrowHead,k-NN (Euc),0.8,0.8206460084033613,0.8,0.7999633483527289,0.03346991539001465
ArrowHead,k-NN (DTW),0.7028571428571428,0.7186391625615765,0.7028571428571428,0.7066939709459394,0.9922537803649902
ArrowHead,LSTM,0.3942857142857143,0.15546122448979593,0.3942857142857143,0.2229976580796253,4.517574787139893
ArrowHead,Transformer,0.3942857142857143,0.15546122448979593,0.3942857142857143,0.2229976580796253,14.392965078353882
ERing,k-NN (Euc),0.9444444444444444,0.9465415689235943,0.9444444444444444,0.9447155813982775,0.04163193702697754
ERing,k-NN (DTW),0.9148148148148149,0.9260026770802633,0.9148148148148149,0.9154524602752683,0.4316859245300293
ERing,LSTM,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616,2.245560884475708
ERing,Transformer,0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616,3.7535901069641113
Epilepsy,k-NN (Euc),0.6304347826086957,0.7322425017437806,0.6304347826086957,0.6170149174497002,0.03193926811218262
Epilepsy,k-NN (DTW),0.9637681159420289,0.9635626956805077,0.9637681159420289,0.963557125278809,2.1177430152893066
Epilepsy,LSTM,0.2463768115942029,0.06070153329132535,0.2463768115942029,0.09740478597910346,4.484739065170288
Epilepsy,Transformer,0.2463768115942029,0.06070153329132535,0.2463768115942029,0.09740478597910346,17.43570303916931
CBF,k-NN (Euc),0.8522222222222222,0.8907996978535084,0.8522222222222222,0.8510771456917205,0.036958932876586914
CBF,k-NN (DTW),0.9966666666666667,0.9966996699669967,0.9966666666666667,0.9966702961064486,1.0524179935455322
CBF,LSTM,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,6.084902763366699
CBF,Transformer,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,15.534425020217896
